algorithm,embedding_mode,eval_sigma,best_train_sigma,best_mean_reward,reward_std
ddpg_bus,full,1.0,1.5,-698692.2819116977,42138.42024627017
ddpg_bus,full,1.5,1.5,-981500.8082326668,42740.907315910044
ddpg_bus,full,2.0,1.0,-1251367.3215964213,57028.34815846395
ddpg_bus,none,1.0,2.0,-698304.760065313,29998.903539898543
ddpg_bus,none,1.5,2.0,-990647.0488506998,34355.96291244018
ddpg_bus,none,2.0,2.0,-1243928.635137816,49658.67179113849
ddpg_bus,one_hot,1.0,2.0,-690850.366027868,31808.762987805996
ddpg_bus,one_hot,1.5,1.5,-952498.2428568552,38286.10281961132
ddpg_bus,one_hot,2.0,2.0,-1227311.5936531492,54021.696785081374
sac_v2_bus,full,1.0,2.0,-322753.3459919573,9053.775886372923
sac_v2_bus,full,1.5,2.0,-436687.2682906481,8818.442800222201
sac_v2_bus,full,2.0,2.0,-554206.312797105,12489.467673541218
sac_v2_bus,none,1.0,1.0,-343490.1776932475,12734.922143340074
sac_v2_bus,none,1.5,1.0,-477979.6844504176,11696.61963958925
sac_v2_bus,none,2.0,1.0,-602486.7973138946,15722.486088043797
sac_v2_bus,one_hot,1.0,1.5,-341487.44421852176,10495.152154136355
sac_v2_bus,one_hot,1.5,1.0,-474183.6298510498,10901.012065621599
sac_v2_bus,one_hot,2.0,1.0,-585729.7693479683,19172.69214519978
td3_bus,full,1.0,1.5,-492105.50727670785,17893.712960326735
td3_bus,full,1.5,1.5,-634736.1508152618,15434.532766286731
td3_bus,full,2.0,1.5,-780154.7744908001,16763.94921568944
td3_bus,none,1.0,1.5,-690667.5017677713,27632.79339143214
td3_bus,none,1.5,2.0,-982786.3222862665,30438.646586819497
td3_bus,none,2.0,2.0,-1219311.3341161846,31508.154182948674
td3_bus,one_hot,1.0,1.5,-703912.7182407539,32518.049787555996
td3_bus,one_hot,1.5,1.0,-959618.048174862,49661.08680173678
td3_bus,one_hot,2.0,1.0,-1243139.9382564363,49008.437240316314
