pygame 2.6.1 (SDL 2.28.4, Python 3.8.20)
Hello from the pygame community. https://www.pygame.org/contribute.html
cuda:0
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Soft Q Network:  SoftQNetwork(
  (embedding_layer): EmbeddingLayer(
    (embeddings): ModuleDict(
      (bus_id): Embedding(25, 12)
      (station_id): Embedding(22, 11)
      (time_period): Embedding(15, 7)
      (direction): Embedding(2, 1)
    )
  )
  (critic): Sequential(
    (0): VectorizedLinear()
    (1): ReLU()
    (2): VectorizedLinear()
    (3): ReLU()
    (4): VectorizedLinear()
    (5): ReLU()
    (6): VectorizedLinear()
  )
)
Policy Network:  PolicyNetwork(
  (embedding_layer): EmbeddingLayer(
    (embeddings): ModuleDict(
      (bus_id): Embedding(25, 12)
      (station_id): Embedding(22, 11)
      (time_period): Embedding(15, 7)
      (direction): Embedding(2, 1)
    )
  )
  (linear1): Linear(in_features=55, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=64, bias=True)
  (mean_linear): Linear(in_features=64, out_features=1, bias=True)
  (log_std_linear): Linear(in_features=64, out_features=1, bias=True)
)
[2K[2KEpisode: 0 | Episode Reward: -1286961.2709323342 | CPU Memory: 1626.80 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 49.70%
[2K[2KEpisode: 1 | Episode Reward: -1098883.214810346 | CPU Memory: 1662.58 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 2 | Episode Reward: -780360.1246316226 | CPU Memory: 1675.80 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.41%
[2K[2KEpisode: 3 | Episode Reward: -553183.1776736915 | CPU Memory: 1675.84 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 4 | Episode Reward: -533824.9323852966 | CPU Memory: 1681.14 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.40%
[2K[2KEpisode: 5 | Episode Reward: -573152.526462129 | CPU Memory: 1702.59 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.41%
[2K[2KEpisode: 6 | Episode Reward: -706466.1677257031 | CPU Memory: 1734.39 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.41%
[2K[2KEpisode: 7 | Episode Reward: -889008.42908672 | CPU Memory: 1739.86 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.41%
[2K[2KEpisode: 8 | Episode Reward: -904035.27646561 | CPU Memory: 1741.53 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 9 | Episode Reward: -1049574.0506756483 | CPU Memory: 1742.72 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 10 | Episode Reward: -1067617.145928533 | CPU Memory: 1755.32 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 11 | Episode Reward: -1005153.6366555183 | CPU Memory: 1764.72 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 12 | Episode Reward: -998881.2956053239 | CPU Memory: 1778.74 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.41%
[2K[2KEpisode: 13 | Episode Reward: -1076044.3155564289 | CPU Memory: 1776.93 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.41%
[2K[2KEpisode: 14 | Episode Reward: -994463.5180179395 | CPU Memory: 1775.93 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 15 | Episode Reward: -1014450.8405980032 | CPU Memory: 1775.43 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
[2K[2KEpisode: 16 | Episode Reward: -1131596.75682535 | CPU Memory: 1777.95 MB | GPU Memory Allocated: 19.29 MB | Replay Buffer Usage: 99.42%
